method,idx,n_ch,implemented,eq1_full,eq1_mod,concentration
shap_guided,944,4,0.5032694,0.75,0.75,0.80355865
shap_guided,944,6,0.7241896,0.8333333333333334,0.8333333333333334,0.9519475
shap_guided,944,6,0.72374445,0.6666666666666666,0.8333333333333334,0.95136243
shap_guided,428,7,0.8531864,0.5714285714285714,0.8571428571428571,0.9716499
shap_guided,428,7,0.8531864,0.5714285714285714,0.8571428571428571,0.9716499
shap_guided,428,7,0.8531864,0.5714285714285714,0.8571428571428571,0.9716499
shap_guided,837,4,0.62259877,1.0,1.0,1.0
shap_guided,837,5,0.7117501,1.0,1.0,1.0
shap_guided,837,5,0.7117501,1.0,1.0,1.0
shap_guided,722,5,0.41712806,0.6,1.0,0.600077
shap_guided,722,5,0.41712806,0.6,1.0,0.600077
shap_guided,722,5,0.67480123,0.6,1.0,0.9707635
shap_guided,573,6,0.74845606,0.8333333333333334,0.8333333333333334,0.9243633
shap_guided,573,6,0.74845606,0.8333333333333334,0.8333333333333334,0.9243633
shap_guided,573,6,0.73859227,0.6666666666666666,0.8333333333333334,0.91218126
shap_guided,1063,5,0.4087148,0.4,0.8,0.52683854
shap_guided,1063,5,0.4087148,0.4,0.8,0.52683854
shap_guided,1063,6,0.7107359,0.5,0.8333333333333334,0.8629797
shap_guided,950,5,0.5066833,0.8,0.8,0.66897774
shap_guided,950,6,0.6807649,0.8333333333333334,0.8333333333333334,0.82444054
shap_guided,950,6,0.6807649,0.8333333333333334,0.8333333333333334,0.82444054
shap_guided,978,5,0.44291547,0.4,0.8,0.5499889
shap_guided,978,5,0.44291547,0.4,0.8,0.5499889
shap_guided,978,5,0.53370833,0.4,0.8,0.6627307
shap_guided,377,6,0.74805397,0.8333333333333334,0.8333333333333334,0.91867024
shap_guided,377,6,0.74805397,0.8333333333333334,0.8333333333333334,0.91867024
shap_guided,377,6,0.74805397,0.8333333333333334,0.8333333333333334,0.91867024
shap_guided,10,6,0.74355054,0.6666666666666666,0.6666666666666666,0.84685844
shap_guided,10,7,0.838392,0.7142857142857143,0.7142857142857143,0.91154397
shap_guided,10,7,0.838392,0.7142857142857143,0.7142857142857143,0.91154397
shap_guided,32,6,0.59415865,0.6666666666666666,0.8333333333333334,0.7777376
shap_guided,32,6,0.7288325,0.6666666666666666,0.8333333333333334,0.954022
